Transaction_ID,Date,Amount
1,2025-03-01,599.34
2,2025-03-02,472.35
3,2025-03-03,629.54
4,2025-03-04,7196.68
5,2025-03-05,453.17
6,2025-03-06,453.17
7,2025-03-07,815.84
8,2025-03-08,653.49
9,2025-03-09,406.11
10,2025-03-10,608.51
11,2025-03-11,407.32
12,2025-03-12,406.85
13,2025-03-13,8022.09
14,2025-03-14,117.34
15,2025-03-15,155.02
16,2025-03-16,387.54
17,2025-03-17,297.43
18,2025-03-18,7699.21
19,2025-03-19,318.4
20,2025-03-20,217.54
21,2025-03-21,7816.38
22,2025-03-22,454.84
23,2025-03-23,8477.58
24,2025-03-24,215.05
25,2025-03-25,391.12
26,2025-03-26,522.18
27,2025-03-27,5554.45
28,2025-03-28,575.14
29,2025-03-29,379.87
30,2025-03-30,9478.82
31,2025-03-31,379.66
32,2025-04-01,7376.85
33,2025-04-02,497.3
34,2025-04-03,288.46
35,2025-04-04,664.51
36,2025-04-05,255.83
37,2025-04-06,6008.6
38,2025-04-07,108.07
39,2025-04-08,234.36
40,2025-04-09,539.37
41,2025-04-10,647.69
42,2025-04-11,534.27
43,2025-04-12,476.87
44,2025-04-13,439.78
45,2025-04-14,204.3
46,2025-04-15,356.03
47,2025-04-16,407.87
48,2025-04-17,5696.66
49,2025-04-18,568.72
50,2025-04-19,147.39
